id;Constrain;Pattern;par_inf;nrmse;color;Res_lvl;Frac;Min;Max;Range;rmse_full;rmse;rmse_range;McNeil_rmse;dif
4;ECA;Cen;ECA;0.38;38;4;0.11;1;100;99;7.09452;2.690216571;0.027173905;0.027888054;-0.000714149
8;ECA;Cen;ThickA;0.85;85;4;0.11;0.05;1.45;1.4;0.287539;0.24173991;0.172671364;0.171287143;0.001384221
12;ECA;Cen;ECB;0.86;86;4;0.11;1;100;99;18.765022;16.02783215;0.161897294;0.164087209;-0.002189915
16;ECA;Cen;ThickB;0.94;94;4;0.11;0.05;2;1.95;0.512398;0.485379044;0.24891233;0.236027733;0.012884597
20;ECA;Cen;ECC;1.22;122;4;0.11;1;100;99;2.9753;3.204580014;0.032369495;0.01859264;0.013776855
24;ECA;SL;ECA;0.38;38;8;0.11;1;100;99;7.09452;2.689962519;0.027171339;0.027888054;-0.000716715
28;ECA;SL;ThickA;0.79;79;8;0.11;0.05;1.45;1.4;0.287539;0.226032183;0.161451559;0.159196286;0.002255273
32;ECA;SL;ECB;1.05;105;8;0.11;1;100;99;18.765022;19.69313146;0.19892052;0.200339035;-0.001418515
36;ECA;SL;ThickB;0.99;99;8;0.11;0.05;2;1.95;0.512398;0.507714445;0.260366382;0.2485824;0.011783982
40;ECA;SL;ECC;1.29;129;8;0.11;1;100;99;2.9753;3.098206926;0.031295019;0.019659431;0.011635588
44;ECA;SH;ECA;0.39;39;8;0.11;1;100;99;7.09452;2.661180701;0.026880613;0.02862195;-0.001741337
48;ECA;SH;ThickA;0.8;80;8;0.11;0.05;1.45;1.4;0.287539;0.225135917;0.160811369;0.161211429;-0.00040006
52;ECA;SH;ECB;1.04;104;8;0.11;1;100;99;18.765022;19.66687217;0.198655274;0.198431044;0.00022423
56;ECA;SH;ThickB;0.97;97;8;0.11;0.05;2;1.95;0.512398;0.507764908;0.260392261;0.243560533;0.016831728
60;ECA;SH;ECC;1.29;129;8;0.11;1;100;99;2.9753;3.252184226;0.032850346;0.019659431;0.013190915
64;ECB;Cen;ECA;0.78;78;4;0.11;1;100;99;7.09452;5.651571241;0.057086578;0.057243901;-0.000157323
68;ECB;Cen;ThickA;0.8;80;4;0.11;0.05;1.45;1.4;0.287539;0.218877161;0.156340829;0.161211429;-0.0048706
72;ECB;Cen;ECB;0.27;27;4;0.11;1;100;99;18.765022;5.003746651;0.050542895;0.051515752;-0.000972857
76;ECB;Cen;ThickB;0.91;91;4;0.11;0.05;2;1.95;0.512398;0.464929552;0.238425411;0.228494933;0.009930478
80;ECB;Cen;ECC;1.08;108;4;0.11;1;100;99;2.9753;2.804730266;0.028330609;0.016459058;0.011871551
84;ECB;SL;ECA;0.99;99;8;0.11;1;100;99;7.09452;7.197457985;0.072701596;0.07265572;4.59E-05
88;ECB;SL;ThickA;0.76;76;8;0.11;0.05;1.45;1.4;0.287539;0.210231894;0.150165638;0.153150857;-0.002985219
92;ECB;SL;ECB;0.26;26;8;0.11;1;100;99;18.765022;4.867010488;0.049161722;0.049607761;-0.000446039
96;ECB;SL;ThickB;0.8;80;8;0.11;0.05;2;1.95;0.512398;0.409363613;0.209930058;0.200874667;0.009055391
100;ECB;SL;ECC;1.44;144;8;0.11;1;100;99;2.9753;4.205382952;0.042478616;0.021945411;0.020533205
108;ECB;SH;ECA;1.01;101;8;0.11;1;100;99;7.09452;7.130159251;0.072021811;0.074123512;-0.002101701
116;ECB;SH;ThickA;0.76;76;8;0.11;0.05;1.45;1.4;0.287539;0.209436599;0.14959757;0.153150857;-0.003553287
124;ECB;SH;ECB;0.26;26;8;0.11;1;100;99;18.765022;4.920059464;0.04969757;0.049607761;8.98E-05
132;ECB;SH;ThickB;0.8;80;8;0.11;0.05;2;1.95;0.512398;0.417625903;0.21416713;0.200874667;0.013292463
140;ECB;SH;ECC;1.46;146;8;0.11;1;100;99;2.9753;3.638823536;0.036755793;0.022250208;0.014505585
148;ECC;Cen;ECA;1.05;105;4;0.11;1;100;99;7.09452;7.47574776;0.075512604;0.077059097;-0.001546493
156;ECC;Cen;ThickA;0.94;94;4;0.11;0.05;1.45;1.4;0.287539;0.26639285;0.190280607;0.189423429;0.000857178
164;ECC;Cen;ECB;0.87;87;4;0.11;1;100;99;18.765022;16.05908025;0.162212932;0.1659952;-0.003782268
172;ECC;Cen;ThickB;0.93;93;4;0.11;0.05;2;1.95;0.512398;0.463842563;0.237867981;0.2335168;0.004351181
180;ECC;Cen;ECC;0.89;89;4;0.11;1;100;99;2.9753;2.491946513;0.025171177;0.013563483;0.011607694
188;ECC;SL;ECA;1.03;103;8;0.11;1;100;99;7.09452;7.532585059;0.076086718;0.075591305;0.000495413
196;ECC;SL;ThickA;0.95;95;8;0.11;0.05;1.45;1.4;0.287539;0.268123537;0.191516812;0.191438571;7.82E-05
204;ECC;SL;ECB;1.09;109;8;0.11;1;100;99;18.765022;19.7692486;0.19968938;0.207970998;-0.008281618
212;ECC;SL;ThickB;0.91;91;8;0.11;0.05;2;1.95;0.512398;0.447053568;0.22925824;0.228494933;0.000763307
220;ECC;SL;ECC;0.87;87;8;0.11;1;100;99;2.9753;1.949093858;0.019687817;0.013258686;0.006429131
228;ECC;SH;ECA;1.01;101;8;0.11;1;100;99;7.09452;7.279495547;0.073530258;0.074123512;-0.000593254
236;ECC;SH;ThickA;0.95;95;8;0.11;0.05;1.45;1.4;0.287539;0.263138017;0.187955726;0.191438571;-0.003482845
244;ECC;SH;ECB;1.07;107;8;0.11;1;100;99;18.765022;19.69229625;0.198912083;0.204155016;-0.005242933
252;ECC;SH;ThickB;0.9;90;8;0.11;0.05;2;1.95;0.512398;0.454602306;0.233129388;0.225984;0.007145388
260;ECC;SH;ECC;0.91;91;8;0.11;1;100;99;2.9753;3.055990529;0.030868591;0.013868281;0.01700031
